"rt","recall","correct_answer","stimuli","spatial_demo_accuracy","set_size","token","trial_type","trial_index","time_elapsed","internal_node_id"
"2282","14","11_12_0","2:3_3:0_0:0","0","3","0be9KvYa51YzZg7","spatial-span-recall-demo","7","10510","0.0-1.0-1.0"
"1759","13","5_8_7_2","1:1_2:0_1:3_0:2","0","4","","spatial-span-recall-demo","17","17275","0.0-1.0-1.1"
"2011","12","0_5_4_11","0:0_1:1_1:0_2:3","0","4","","spatial-span-recall-demo","27","24435","0.0-1.0-1.2"
